candidate,party,constituency,votes,result,sex,province,district
Paras Mani Gelal,Rastriya Swatantra Party,Udayapur-1,"30,590",Winner 🏆,♂ Male,Koshi Province,Udayapur
Aasha Jha,Rastriya Swatantra Party,Morang-5,"30,434",Winner 🏆,♀ Female,Koshi Province,Morang
Gauri Kumari,Rastriya Swatantra Party,Mahottari-4,"30,132",Winner 🏆,♀ Female,Madhesh Province,Mahottari
Prashant Upreti,Rastriya Swatantra Party,Makwanpur-2,"30,050",Winner 🏆,♂ Male,Bagmati Province,Makwanpur
Sudhan Gurung,Rastriya Swatantra Party,Gorkha-1,"29,896",Winner 🏆,♂ Male,Gandaki Province,Gorkha
Kishori Saha Kamal,Rastriya Swatantra Party,Dhanusha-1,"29,863",Winner 🏆,♂ Male,Madhesh Province,Dhanusha
Raakanta Prasad Chaurasiya,Rastriya Swatantra Party,Parsa-3,"29,679",Winner 🏆,♂ Male,Madhesh Province,Parsa
Shridhara Pokhrel,Rastriya Swatantra Party,Bardiya-2,"29,678",Winner 🏆,♂ Male,Lumbini Province,Bardiya
Sagar Dhakal,Rastriya Swatantra Party,Gulmi-1,"29,642",Winner 🏆,♂ Male,Lumbini Province,Gulmi
Madhu Kumara Chaulagaee,Rastriya Swatantra Party,Kavrepalanchok-1,"29,618",Winner 🏆,♂ Male,Bagmati Province,Kavrepalanchok
Khagendra Sunar,Rastriya Swatantra Party,Banke-3,"29,551",Winner 🏆,♂ Male,Lumbini Province,Banke
Mo. Phiradosha Aalam,Nepali Congress,Rautahat-2,"29,528",Winner 🏆,♂ Male,Madhesh Province,Rautahat
Pukar Bam,Rastriya Swatantra Party,Kathmandu-4,"29,142",Winner 🏆,♂ Male,Bagmati Province,Kathmandu
Dhananjaya Regmi,Rastriya Swatantra Party,Syangja-1,"29,071",Winner 🏆,♂ Male,Gandaki Province,Syangja
Rajesha Kumara Chaudhari,Rastriya Swatantra Party,Rautahat-1,"28,946",Winner 🏆,♂ Male,Madhesh Province,Rautahat
Khem Raj Koirala,Rastriya Swatantra Party,Kailali-4,"28,556",Winner 🏆,♂ Male,Sudurpashchim Province,Kailali
Ramji Yadav,Rastriya Swatantra Party,Saptari-2,"28,404",Winner 🏆,♂ Male,Madhesh Province,Saptari
Prem Suwal,Nepal Workers and Peasants Party,Bhaktapur-1,"28,147",Declared,♂ Male,Bagmati Province,Bhaktapur
Kanhaiya Baniya,Rastriya Swatantra Party,Rupandehi-4,"28,066",Winner 🏆,♂ Male,Lumbini Province,Rupandehi
Tek Bhadur Shakya,Rastriya Swatantra Party,Parsa-4,"28,006",Winner 🏆,♂ Male,Madhesh Province,Parsa
