candidate,party,constituency,votes,result,sex,province,district
Lakshman Datt Joshi,Nepali Communist Party,Darchula-1,"3,065",Declared,♂ Male,Sudurpashchim Province,Darchula
Ramaashisha Raya Yadav,Janata Samajwadi Party Nepal,Rautahat-2,"2,960",Declared,♂ Male,Madhesh Province,Rautahat
Karna Bahadur Budha,Nepali Congress,Dolpa-1,"2,947",Declared,♂ Male,Karnali Province,Dolpa
Lokendra Kunwar,Rastriya Prajatantra Party,Kailali-1,"2,937",Declared,♂ Male,Sudurpashchim Province,Kailali
Chakra Prasad Snehi,CPN (Unified Marxist-Leninist),Dadeldhura-1,"2,926",Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Santosha Dangal,Nepali Communist Party,Bara-1,"2,878",Declared,♂ Male,Madhesh Province,Bara
Surendra Prasad Sharma,Janamat Party,Saptari-3,"2,869",Declared,♂ Male,Madhesh Province,Saptari
Ramchandra Yadav,Nepali Communist Party,Siraha-1,"2,853",Declared,♂ Male,Madhesh Province,Siraha
Sapana Rajbhandari,Nepali Congress,Kathmandu-8,"2,835",Declared,♀ Female,Bagmati Province,Kathmandu
Jit Bahadur Rana,Nepali Communist Party,Surkhet-1,"2,828",Declared,♂ Male,Karnali Province,Surkhet
Tek Bahadur Subba,Rastriya Parivartan Party,Panchthar-1,"2,825",Declared,♂ Male,Koshi Province,Panchthar
Sarita Thapa,Nepali Communist Party,Sankhuwasabha-1,"2,812",Declared,♀ Female,Koshi Province,Sankhuwasabha
Bishnu Rana,Shram Sanskriti Party,Sunsari-4,"2,763",Declared,♂ Male,Koshi Province,Sunsari
Gyanendra Ghale,Ujyalo Nepal Party,Nuwakot-2,"2,750",Declared,♂ Male,Bagmati Province,Nuwakot
Padam Kumar Lama,Ujyalo Nepal Party,Lalitpur-1,"2,686",Declared,♂ Male,Bagmati Province,Lalitpur
Bhupen Bahadur Chanda,Rastriya Prajatantra Party,Baitadi-1,"2,681",Declared,♂ Male,Sudurpashchim Province,Baitadi
Rupa Maharjan (Shrestha),Nepali Communist Party,Kathmandu-10,"2,648",Declared,♀ Female,Bagmati Province,Kathmandu
Ashok Kumar Agrawal,Janata Samajwadi Party Nepal,Parsa-2,"2,642",Declared,♂ Male,Madhesh Province,Parsa
Tribhuwan Kumar Singh,Ujyalo Nepal Party,Sarlahi-3,"2,622",Declared,♂ Male,Madhesh Province,Sarlahi
Nim Bahadur Moktan,Shram Sanskriti Party,Sindhuli-1,"2,596",Declared,♂ Male,Bagmati Province,Sindhuli
Phaija Ahamada Khan,Nepali Communist Party,Rupandehi-3,"2,594",Declared,♂ Male,Lumbini Province,Rupandehi
Shyam Sundar Sardar,Janata Samajwadi Party Nepal,Saptari-1,"2,558",Declared,♂ Male,Madhesh Province,Saptari
Ramavavu Prasada Yadav,Janata Samajwadi Party Nepal,Bara-1,"2,530",Declared,♂ Male,Madhesh Province,Bara
Ram Kumar Yadav,Nepali Congress,Saptari-2,"2,498",Declared,♂ Male,Madhesh Province,Saptari
Rajkaji Gurung,Nepali Communist Party,Kaski-1,"2,479",Declared,♂ Male,Gandaki Province,Kaski
Bharat Bahadur Khadka,Rastriya Prajatantra Party,Bhaktapur-1,"2,472",Declared,♂ Male,Bagmati Province,Bhaktapur
Raghab Karki,Rastriya Swatantra Party,Jajarkot-1,"2,471",Declared,♂ Male,Karnali Province,Jajarkot
Pratapa Lama,Ujyalo Nepal Party,Sindhupalchok-1,"2,421",Declared,♂ Male,Bagmati Province,Sindhupalchok
Tek Bahadur Gurung,Nepali Congress,Manang-1,"2,415",Winner 🏆,♂ Male,Gandaki Province,Manang
Brahamadeva Mahato,Janamat Party,Dhanusha-1,"2,404",Declared,♂ Male,Madhesh Province,Dhanusha
Bidya Nath Dhakal,Nepali Communist Party,Tanahun-1,"2,393",Declared,♂ Male,Gandaki Province,Tanahun
Mahammada Atiullah,CPN (Unified Marxist-Leninist),Rautahat-2,"2,382",Declared,♂ Male,Madhesh Province,Rautahat
Binod Kumar Yadav,Janamat Party,Siraha-2,"2,360",Declared,♂ Male,Madhesh Province,Siraha
Pradeep Kumar Chaudhary,Ujyalo Nepal Party,Kailali-1,"2,357",Declared,♂ Male,Sudurpashchim Province,Kailali
Birendra Bahadur Bam,Rastriya Prajatantra Party,Kailali-3,"2,347",Declared,♂ Male,Sudurpashchim Province,Kailali
Balram Sharma Khanal,Rastriya Prajatantra Party,Chitwan-1,"2,302",Declared,♂ Male,Bagmati Province,Chitwan
Satya Narayan Yadav,Janata Samajwadi Party Nepal,Siraha-1,"2,285",Declared,♂ Male,Madhesh Province,Siraha
Raji Ahamad,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Sarlahi-2,"2,283",Declared,♂ Male,Madhesh Province,Sarlahi
Bal Ram Thapa,Rastriya Prajatantra Party,Kathmandu-10,"2,239",Declared,♂ Male,Bagmati Province,Kathmandu
Krishna Yadav,Nepali Party for Nepal,Sarlahi-2,"2,227",Declared,♂ Male,Madhesh Province,Sarlahi
Kul Prasad Samba,Nepali Communist Party,Morang-1,"2,224",Declared,♂ Male,Koshi Province,Morang
Ghana Shyam Yadav Ahir,Nepali Communist Party,Rupandehi-1,"2,198",Declared,♂ Male,Lumbini Province,Rupandehi
Chotelal Prasad Yadav,Nepali Communist Party,Parsa-3,"2,137",Declared,♂ Male,Madhesh Province,Parsa
Shatrughan Bilas Singh Kurmi,Rastriya Prajatantra Party,Kapilvastu-1,"2,127",Declared,♂ Male,Lumbini Province,Kapilvastu
Savin Niraula,Rastriya Prajatantra Party,Morang-6,"2,092",Declared,♂ Male,Koshi Province,Morang
Bhakti Prasad Sitaula,Rastriya Prajatantra Party,Jhapa-4,"2,080",Declared,♂ Male,Koshi Province,Jhapa
Bhopendra Prasad Yadav,Janamat Party,Rupandehi-4,"2,077",Declared,♂ Male,Lumbini Province,Rupandehi
Ajaya Kushavaha,Nepali Communist Party,Bara-4,"2,067",Declared,♂ Male,Madhesh Province,Bara
Amit Tamang,Ujyalo Nepal Party,Nuwakot-1,"2,063",Declared,♂ Male,Bagmati Province,Nuwakot
Sabin Kumar Khadka,Rastriya Prajatantra Party,Lalitpur-3,"2,037",Declared,♂ Male,Bagmati Province,Lalitpur
Govin‍da Prasada Chaudhari,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Parasi-2,"2,029",Declared,♂ Male,Lumbini Province,Parasi
Surendra Raj Bhandari,Rastriya Prajatantra Party,Kathmandu-4,"2,025",Declared,♂ Male,Bagmati Province,Kathmandu
Vina Jaisaval,Rastriya Prajatantra Party,Parsa-2,"1,999",Declared,♀ Female,Madhesh Province,Parsa
Tirtha Raj Chhauthat,Rastriya Prajatantra Party,Kanchanpur-2,"1,993",Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Sunil Maharjan,Nepali Communist Party,Lalitpur-1,"1,964",Declared,♂ Male,Bagmati Province,Lalitpur
Som Bahadur Thapa,Nepali Communist Party,Tanahun-2,"1,953",Declared,♂ Male,Gandaki Province,Tanahun
Kamal Thapa,Rastriya Prajatantra Party,Kathmandu-5,"1,922",Declared,♂ Male,Bagmati Province,Kathmandu
Chhatra Bahadur Dumjan,Ujyalo Nepal Party,Sarlahi-1,"1,913",Declared,♂ Male,Madhesh Province,Sarlahi
Nitesh Paudel,Nepali Communist Party,Kathmandu-2,"1,912",Declared,♂ Male,Bagmati Province,Kathmandu
Tarak Singh Tharu,Rastriya Prajatantra Party,Banke-3,"1,912",Declared,♂ Male,Lumbini Province,Banke
Rajesh Shakya,CPN (Unified Marxist-Leninist),Kathmandu-8,"1,909",Declared,♂ Male,Bagmati Province,Kathmandu
Nabin Shahi,Rastriya Prajatantra Party,Kathmandu-8,"1,909",Declared,♂ Male,Bagmati Province,Kathmandu
Narendra Prasad Chaudhary,Janamat Party,Kapilvastu-1,"1,889",Declared,♂ Male,Lumbini Province,Kapilvastu
Nandarama Devakota,CPN (Unified Marxist-Leninist),Rukum West-1,"1,869",Declared,♂ Male,Karnali Province,Rukum West
Devendra Paudel,Nepali Communist Party,Parasi-2,"1,838",Declared,♂ Male,Lumbini Province,Parasi
Shribhagavana Rauta Kurmi,आम जनता पार्टी(एकल चुनाव चिन्ह),Rautahat-2,"1,825",Declared,♂ Male,Madhesh Province,Rautahat
Chhabilal Gurung,Shram Sanskriti Party,Rupandehi-1,"1,824",Declared,♂ Male,Lumbini Province,Rupandehi
Abuho Rairah,Shram Sanskriti Party,Morang-2,"1,822",Declared,♂ Male,Koshi Province,Morang
Mandhara Chimariya,Nepali Congress,Jhapa-5,"1,821",Declared,♀ Female,Koshi Province,Jhapa
Ram Kumari Chaudhary,Nepali Communist Party,Sunsari-2,"1,816",Declared,♀ Female,Koshi Province,Sunsari
Pashupati Nath Dhakal,Rastriya Janamorcha,Arghakhanchi-1,"1,809",Declared,♂ Male,Lumbini Province,Arghakhanchi
Indra Dhara Dadu Bista,CPN (Unified Marxist-Leninist),Mustang-1,"1,806",Declared,♂ Male,Gandaki Province,Mustang
Ram Prasha Sada,Shram Sanskriti Party,Sunsari-3,"1,780",Declared,♂ Male,Koshi Province,Sunsari
Raghubar Raj Thapa,Rastriya Prajatantra Party,Lalitpur-2,"1,760",Declared,♂ Male,Bagmati Province,Lalitpur
Pyare Lal Rana,Independent,Kailali-5,"1,755",Declared,♂ Male,Sudurpashchim Province,Kailali
Bharata Prasada Sah,Nepali Communist Party,Bara-3,"1,751",Declared,♂ Male,Madhesh Province,Bara
Omaprakasha Raval,Rastriya Swatantra Party,Achham-1,"1,739",Declared,♂ Male,Sudurpashchim Province,Achham
Tiertha Bahadura Gurung,Ujyalo Nepal Party,Bara-3,"1,726",Declared,♂ Male,Madhesh Province,Bara
Rishi Raj Devkota,Rastriya Prajatantra Party,Banke-2,"1,723",Declared,♂ Male,Lumbini Province,Banke
Opendra Kumar Raya,Nepali Communist Party,Morang-6,"1,716",Declared,♂ Male,Koshi Province,Morang
Rubi Kumari Karn,Nepali Communist Party,Saptari-4,"1,709",Declared,♀ Female,Madhesh Province,Saptari
Bhima Chan‍dra Gurungg,Shram Sanskriti Party,Nawalpur-1,"1,702",Declared,♂ Male,Gandaki Province,Nawalpur
Gopi Krishna Chaulagaee,Rastriya Prajatantra Party,Sindhupalchok-2,"1,681",Declared,♂ Male,Bagmati Province,Sindhupalchok
Dharma Raj Paudel,Nepali Communist Party,Dhankuta-1,"1,665",Declared,♂ Male,Koshi Province,Dhankuta
Nima Dorje Lama,Ujyalo Nepal Party,Dolakha-1,"1,663",Declared,♂ Male,Bagmati Province,Dolakha
Min Prasad Ghimire,Rastriya Prajatantra Party,Rupandehi-5,"1,654",Declared,♂ Male,Lumbini Province,Rupandehi
Rajendra Ramjali,Shram Sanskriti Party,Surkhet-2,"1,646",Declared,♂ Male,Karnali Province,Surkhet
Hem Jung Gurung,Rastriya Prajatantra Party,Kaski-2,"1,643",Declared,♂ Male,Gandaki Province,Kaski
Arun Kumar Sah,Nepali Communist Party,Saptari-3,"1,635",Declared,♂ Male,Madhesh Province,Saptari
Rabindra Chaudhary,Nepali Communist Party,Saptari-1,"1,626",Declared,♂ Male,Madhesh Province,Saptari
Mohan Raj Regmi,CPN (Unified Marxist-Leninist),Kathmandu-1,"1,618",Declared,♂ Male,Bagmati Province,Kathmandu
Hemraj Karki,Rastriya Prajatantra Party,Jhapa-1,"1,612",Declared,♂ Male,Koshi Province,Jhapa
Navanita Kumara Mishr,Rastriya Prajatantra Party,Parasi-1,"1,593",Declared,♂ Male,Lumbini Province,Parasi
Roshan Shahi,Rastriya Prajatantra Party,Kailali-5,"1,592",Declared,♂ Male,Sudurpashchim Province,Kailali
Rama Svarupa Chaudhari,Janamat Party,Siraha-1,"1,589",Declared,♂ Male,Madhesh Province,Siraha
Rakesh Kumar Mishra,Janamat Party,Sarlahi-4,"1,572",Declared,♂ Male,Madhesh Province,Sarlahi
Dilli Bahadur Shahi,Rastriya Prajatantra Party,Kanchanpur-1,"1,560",Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Sailendra Ghimire,Nepali Communist Party,Syangja-1,"1,552",Declared,♂ Male,Gandaki Province,Syangja
Durgesh Kumar Chaudhary,Nepali Communist Party,Sunsari-3,"1,551",Declared,♂ Male,Koshi Province,Sunsari
Ganesha Mana Mahato,Nepali Communist Party,Nawalpur-2,"1,538",Declared,♂ Male,Gandaki Province,Nawalpur
Laxmi Prasad Sangroula,Rastriya Prajatantra Party,Jhapa-5,"1,536",Declared,♂ Male,Koshi Province,Jhapa
Yuvraj Roka,Rastriya Swatantra Party,Myagdi-1,"1,530",Declared,♂ Male,Gandaki Province,Myagdi
Manoj Kumar Singh,CPN (Unified Marxist-Leninist),Mahottari-3,"1,516",Declared,♂ Male,Madhesh Province,Mahottari
Bakhat Bahadur Thapa,Nepal Workers and Peasants Party,Dailekh-2,"1,512",Declared,♂ Male,Karnali Province,Dailekh
Suresh Rijal,Rastriya Prajatantra Party,Dhading-2,"1,504",Declared,♂ Male,Bagmati Province,Dhading
Babbu Singh Yadav,Janata Samajwadi Party Nepal,Kapilvastu-1,"1,485",Declared,♂ Male,Lumbini Province,Kapilvastu
Ritubartan Rai,Shram Sanskriti Party,Lalitpur-3,"1,472",Declared,♂ Male,Bagmati Province,Lalitpur
Prakash Shahi,CPN (Maoist),Dang-1,"1,472",Declared,♂ Male,Lumbini Province,Dang
Nagesh‍vara Sah,CPN (Unified Marxist-Leninist),Sarlahi-2,"1,463",Declared,♂ Male,Madhesh Province,Sarlahi
Ranjit Tamang,Nepali Communist Party,Jhapa-5,"1,461",Declared,♂ Male,Koshi Province,Jhapa
Dil Kumar Karki,Rastriya Prajatantra Party,Kathmandu-9,"1,457",Declared,♂ Male,Bagmati Province,Kathmandu
Gopal Giri,Nepali Communist Party,Kaski-3,"1,456",Declared,♂ Male,Gandaki Province,Kaski
Dipendra Bista,Nepali Communist Party,Banke-2,"1,456",Declared,♂ Male,Lumbini Province,Banke
Man Bahadur Tamang,Ujyalo Nepal Party,Rasuwa-1,"1,453",Declared,♂ Male,Bagmati Province,Rasuwa
Dilliram Ghimire,Nepali Communist Party,Jhapa-3,"1,450",Declared,♂ Male,Koshi Province,Jhapa
Ramesh‍vara Shreshth,Ujyalo Nepal Party,Kathmandu-9,"1,426",Declared,♂ Male,Bagmati Province,Kathmandu
Uddav Shrestha,Rastriya Prajatantra Party,Sunsari-1,"1,419",Declared,♂ Male,Koshi Province,Sunsari
Shubhash Pandey,Nepali Communist Party,Rupandehi-2,"1,409",Declared,♂ Male,Lumbini Province,Rupandehi
Arjun Prasad Khanal,Rastriya Prajatantra Party,Kaski-3,"1,406",Declared,♂ Male,Gandaki Province,Kaski
Rajnish Raya,Nepali Communist Party,Sarlahi-4,"1,401",Declared,♂ Male,Madhesh Province,Sarlahi
Shivachandra Prasada Kushavaha,Progressive Democratic Party,Bara-2,"1,396",Declared,♂ Male,Madhesh Province,Bara
Kula Prasada Ke.si,Independent,Dang-1,"1,384",Declared,♂ Male,Lumbini Province,Dang
Bimala Lama,Ujyalo Nepal Party,Kathmandu-7,"1,383",Declared,♀ Female,Bagmati Province,Kathmandu
Lal Kumar Lama,Rastriya Prajatantra Party,Kathmandu-7,"1,381",Declared,♂ Male,Bagmati Province,Kathmandu
Shivlal Bishwakarma,Shram Sanskriti Party,Rupandehi-5,"1,369",Declared,♂ Male,Lumbini Province,Rupandehi
Chandra Bir Rai,Nepali Communist Party,Morang-2,"1,366",Declared,♂ Male,Koshi Province,Morang
Purushottam Chudal,Nepali Communist Party,Jhapa-4,"1,362",Declared,♂ Male,Koshi Province,Jhapa
Kamala Rajavar,Rastriya Prajatantra Party,Kailali-4,"1,358",Declared,♂ Male,Sudurpashchim Province,Kailali
Ghanshyam Waling Rai,Rastriya Parivartan Party,Sankhuwasabha-1,"1,352",Declared,♂ Male,Koshi Province,Sankhuwasabha
Bir Bahadur Kami,Rastriya Prajatantra Party,Bardiya-1,"1,344",Declared,♂ Male,Lumbini Province,Bardiya
Dhal Bahadur Khapangi Magar,Shram Sanskriti Party,Ramechhap-1,"1,336",Declared,♂ Male,Bagmati Province,Ramechhap
Sanjaya Kumara Mahato,Nepali Communist Party,Dhanusha-4,"1,336",Declared,♂ Male,Madhesh Province,Dhanusha
Bhim Bahadur Gautam,Shram Sanskriti Party,Rupandehi-2,"1,336",Declared,♂ Male,Lumbini Province,Rupandehi
Radha Krishna Maharjan,Nepali Communist Party,Kathmandu-9,"1,328",Declared,♂ Male,Bagmati Province,Kathmandu
Ram Prasad Sapkota,Nepali Communist Party,Bhaktapur-2,"1,323",Declared,♂ Male,Bagmati Province,Bhaktapur
Uddav Raj Bhetuwal,Rastriya Prajatantra Party,Kathmandu-6,"1,321",Declared,♂ Male,Bagmati Province,Kathmandu
Vijaya Pant,Ujyalo Nepal Party,Lalitpur-3,"1,320",Declared,♂ Male,Bagmati Province,Lalitpur
Kabi Ram Puri,Rastriya Prajatantra Party,Surkhet-2,"1,315",Declared,♂ Male,Karnali Province,Surkhet
Vinaya Vi.si.,Rastriya Prajatantra Party,Dang-1,"1,292",Declared,♂ Male,Lumbini Province,Dang
Dinesh Kumar Basnet,Rastriya Prajatantra Party,Sunsari-2,"1,287",Declared,♂ Male,Koshi Province,Sunsari
Hem Bahadur Thapa Parajuli,Nepali Communist Party,Kaski-2,"1,276",Declared,♂ Male,Gandaki Province,Kaski
Nanda Kishor Prasad Shribastav,Rastriya Prajatantra Party,Parsa-1,"1,272",Declared,♂ Male,Madhesh Province,Parsa
Hem Lal Sharma,Nepali Communist Party,Kathmandu-6,"1,260",Declared,♂ Male,Bagmati Province,Kathmandu
Da. Deumana Samvahangaphe,Nepali Communist Party,Morang-3,"1,259",Declared,♂ Male,Koshi Province,Morang
Khushiram Tharu,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Bardiya-2,"1,255",Declared,♂ Male,Lumbini Province,Bardiya
Loka Prasada Bhurtel,Nepali Communist Party,Nawalpur-1,"1,245",Declared,♂ Male,Gandaki Province,Nawalpur
Mohammad Aslam Kha,Janata Samajwadi Party Nepal,Rupandehi-1,"1,242",Declared,♂ Male,Lumbini Province,Rupandehi
Krishna Ke.si.,Progressive Democratic Party,Banke-1,"1,240",Declared,♀ Female,Lumbini Province,Banke
Rama Sin Tamang,Ujyalo Nepal Party,Sindhupalchok-2,"1,238",Declared,♂ Male,Bagmati Province,Sindhupalchok
Shreeram Gurung,Ujyalo Nepal Party,Kathmandu-5,"1,228",Declared,♂ Male,Bagmati Province,Kathmandu
Dipak Thapa (Magar),Rastriya Prajatantra Party,Chitwan-3,"1,226",Declared,♂ Male,Bagmati Province,Chitwan
Bikram Thapa,Rastriya Prajatantra Party,Bhaktapur-2,"1,224",Declared,♂ Male,Bagmati Province,Bhaktapur
Dipaka Chandra Bastakoti,Rastriya Prajatantra Party,Nawalpur-1,"1,221",Declared,♂ Male,Gandaki Province,Nawalpur
Rajendra Amatya,Nepali Communist Party,Lalitpur-2,"1,217",Declared,♂ Male,Bagmati Province,Lalitpur
Ramnaresh Prasad Yadav,Janata Samajwadi Party Nepal,Parsa-1,"1,201",Declared,♂ Male,Madhesh Province,Parsa
Kushal Gurung,Ujyalo Nepal Party,Kaski-2,"1,201",Declared,♂ Male,Gandaki Province,Kaski
Lakpa Tamang,Independent,Dhankuta-1,"1,181",Declared,♂ Male,Koshi Province,Dhankuta
Bishnu Prasad Bhandari,Rastriya Prajatantra Party,Kapilvastu-2,"1,181",Declared,♂ Male,Lumbini Province,Kapilvastu
Ganga Prasad Chaudhary,CPN (Unified Marxist-Leninist),Saptari-4,"1,177",Declared,♂ Male,Madhesh Province,Saptari
Surendra Prasada Yadav,Janamat Party,Dhanusha-2,"1,177",Declared,♂ Male,Madhesh Province,Dhanusha
Hari Ram Lawaju,Nepali Communist Party,Bhaktapur-1,"1,177",Declared,♂ Male,Bagmati Province,Bhaktapur
Oma Bahadura Gurungg,Nepali Communist Party,Ilam-2,"1,172",Declared,♂ Male,Koshi Province,Ilam
Anil Tamang,Shram Sanskriti Party,Chitwan-1,"1,165",Declared,♂ Male,Bagmati Province,Chitwan
Kamala Chapagaee,Shram Sanskriti Party,Nawalpur-2,"1,164",Declared,♂ Male,Gandaki Province,Nawalpur
Madhav Prasad Acharya,Rastriya Prajatantra Party,Morang-4,"1,163",Declared,♂ Male,Koshi Province,Morang
Bil Bahadur Tamang Lama,Shram Sanskriti Party,Kaski-1,"1,141",Declared,♂ Male,Gandaki Province,Kaski
Sushil Chaudhary,Rastriya Prajatantra Party,Bardiya-2,"1,127",Declared,♂ Male,Lumbini Province,Bardiya
Ranjiva Shreshth,Rastriya Prajatantra Party,Kavrepalanchok-2,"1,125",Declared,♂ Male,Bagmati Province,Kavrepalanchok
Apharoja Aalam,राष्ट्र निर्माण दल नेपाल,Saptari-2,"1,120",Declared,♂ Male,Madhesh Province,Saptari
Yam Bahadur Thakuri,Rastriya Prajatantra Party,Tanahun-2,"1,117",Declared,♂ Male,Gandaki Province,Tanahun
Dharmashila Chapagai,Nepali Communist Party,Jhapa-2,"1,115",Declared,♀ Female,Koshi Province,Jhapa
Jaya Natha Adhikari,Independent,Dhanusha-2,"1,081",Declared,♂ Male,Madhesh Province,Dhanusha
Ganesh Prasad Acharya,Rastriya Janamorcha,Dang-1,"1,077",Declared,♂ Male,Lumbini Province,Dang
Suraj Limbu,Mongol National Organisation,Morang-1,"1,068",Declared,♂ Male,Koshi Province,Morang
Tasi Lhanjom,Rastriya Swatantra Party,Humla-1,"1,064",Declared,♀ Female,Karnali Province,Humla
Jivana Mallah,Janamat Party,Parasi-2,"1,064",Declared,♂ Male,Lumbini Province,Parasi
Ra‌jakumara Dasa Tatma,Janata Samajwadi Party Nepal,Rautahat-4,"1,062",Declared,♂ Male,Madhesh Province,Rautahat
Damodar Bhandari,Rastriya Prajatantra Party,Dang-3,"1,057",Declared,♂ Male,Lumbini Province,Dang
Sin‍dhu Jalesa Budhathoki,Nepali Communist Party,Parasi-1,"1,056",Declared,♀ Female,Lumbini Province,Parasi
Rabi Hamal Thakuri,Rastriya Prajatantra Party,Surkhet-1,"1,049",Declared,♂ Male,Karnali Province,Surkhet
Jhanak Bahadur Adhikari,Ujyalo Nepal Party,Kathmandu-4,"1,034",Declared,♂ Male,Bagmati Province,Kathmandu
Rajan Khadgi,Ujyalo Nepal Party,Kathmandu-8,"1,033",Declared,♂ Male,Bagmati Province,Kathmandu
Vinaya Yadav,Rastriya Ekta Dal,Bara-4,"1,026",Declared,♂ Male,Madhesh Province,Bara
Bidya Shrestha Maharjan,Shram Sanskriti Party,Makwanpur-1,"1,024",Declared,♀ Female,Bagmati Province,Makwanpur
Pravina Kumara Thokara/tamangg,Rastriya Prajatantra Party,Dolakha-1,"1,010",Declared,♂ Male,Bagmati Province,Dolakha
Malikram Yadav,Independent,Dang-1,"1,008",Declared,♂ Male,Lumbini Province,Dang
Krishna Kumar Atal,Shram Sanskriti Party,Morang-4,"1,001",Declared,♂ Male,Koshi Province,Morang
Kebindra Jung Gurung,Rastriya Prajatantra Party,Lamjung-1,"1,000",Declared,♂ Male,Gandaki Province,Lamjung
Jitendra Kumar Sah,Janamat Party,Saptari-4,995,Declared,♂ Male,Madhesh Province,Saptari
Babu Ram Thapa,Rastriya Prajatantra Party,Kaski-1,978,Declared,♂ Male,Gandaki Province,Kaski
Santosh Tamang,Mongol National Organisation,Jhapa-1,971,Declared,♂ Male,Koshi Province,Jhapa
Kashiram Gurung,Shram Sanskriti Party,Tanahun-1,967,Declared,♂ Male,Gandaki Province,Tanahun
Krishna Bahadur Chaudhary,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kanchanpur-1,967,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Kishori Karki,Ujyalo Nepal Party,Okhaldhunga-1,965,Declared,♀ Female,Koshi Province,Okhaldhunga
Runa Kumari Mahato,Rastriya Prajatantra Party,Nawalpur-2,963,Declared,♀ Female,Gandaki Province,Nawalpur
Madhav Prasad Lamichhane,Nepali Communist Party,Rasuwa-1,953,Declared,♂ Male,Bagmati Province,Rasuwa
Hum Bahadur Sunari Magar,Nepali Communist Party,Palpa-1,951,Declared,♂ Male,Lumbini Province,Palpa
Miresh Rai,Rastriya Parivartan Party,Khotang-1,947,Declared,♂ Male,Koshi Province,Khotang
Chandra Bahadur Khadka,CPN (Maoist),Salyan-1,943,Declared,♂ Male,Karnali Province,Salyan
Subhash Chandra Khadka,Rastriya Prajatantra Party,Udayapur-1,941,Declared,♂ Male,Koshi Province,Udayapur
Jaya Kishora Pandey,Independent,Bara-1,941,Declared,♂ Male,Madhesh Province,Bara
Yunesh Lama Sintan,Shram Sanskriti Party,Makwanpur-2,932,Declared,♂ Male,Bagmati Province,Makwanpur
Rakesh Neupane,Ujyalo Nepal Party,Kathmandu-10,927,Declared,♂ Male,Bagmati Province,Kathmandu
Ahmaddin Musalman,Rastriya Prajatantra Party,Rupandehi-4,926,Declared,♂ Male,Lumbini Province,Rupandehi
Tej Kumar Kurumbang,Rastriya Prajatantra Party,Panchthar-1,925,Declared,♂ Male,Koshi Province,Panchthar
Ashesh Ghimire,Nepali Communist Party,Jhapa-1,922,Declared,♂ Male,Koshi Province,Jhapa
Ranadhvaja Limvu,Nepali Communist Party,Tehrathum-1,919,Declared,♂ Male,Koshi Province,Tehrathum
Manoj Kumar Chaudhary,Nepali Communist Party,Parsa-2,913,Declared,♂ Male,Madhesh Province,Parsa
Ramesha Prasada Yadav,Nepali Communist Party,Bara-2,910,Declared,♂ Male,Madhesh Province,Bara
Kamaruddin Rai,Janata Samajwadi Party Nepal,Banke-2,908,Declared,♂ Male,Lumbini Province,Banke
Bimal Kumar Dagaura,Shram Sanskriti Party,Kailali-1,908,Declared,♂ Male,Sudurpashchim Province,Kailali
Dhan Bahadur Gurung,Ujyalo Nepal Party,Chitwan-1,903,Declared,♂ Male,Bagmati Province,Chitwan
Anisha Nepali,Rastriya Prajatantra Party,Salyan-1,902,Declared,♀ Female,Karnali Province,Salyan
Purna Bahadur Waiba Tamang,Rastriya Prajatantra Party,Morang-1,900,Declared,♂ Male,Koshi Province,Morang
Pawan Pokharel,Ujyalo Nepal Party,Kathmandu-2,895,Declared,♂ Male,Bagmati Province,Kathmandu
Amir Tamang,Ujyalo Nepal Party,Dhading-2,886,Declared,♂ Male,Bagmati Province,Dhading
Ghanashyama Gurungg,Rastriya Prajatantra Party,Sunsari-3,885,Declared,♂ Male,Koshi Province,Sunsari
Mohammad Jiaul Rahman,CPN (Unified Marxist-Leninist),Saptari-2,883,Declared,♂ Male,Madhesh Province,Saptari
Govinda Khadayat,Rastriya Prajatantra Party,Dadeldhura-1,882,Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Devendra Mishr,Janamat Party,Rautahat-1,881,Declared,♂ Male,Madhesh Province,Rautahat
Lila Diyali,Shram Sanskriti Party,Mahottari-1,867,Declared,♀ Female,Madhesh Province,Mahottari
Surendra Prasada Jayasaval,Progressive Democratic Party,Rautahat-2,859,Declared,♂ Male,Madhesh Province,Rautahat
Varisa Dharel,Ujyalo Nepal Party,Kathmandu-6,857,Declared,♂ Male,Bagmati Province,Kathmandu
Pavitra Limbu Tumvangaphe,Rastriya Janamukti Party,Ilam-2,851,Declared,♀ Female,Koshi Province,Ilam
Shrinjay Mahato,Janamat Party,Sarlahi-1,848,Declared,♂ Male,Madhesh Province,Sarlahi
Padama Bahadura Vi.ka.,Nepali Communist Party,Syangja-2,848,Declared,♂ Male,Gandaki Province,Syangja
Ammar Bahadur Thapa Chhetri,Rastriya Prajatantra Party,Rolpa-1,846,Declared,♂ Male,Lumbini Province,Rolpa
Sundar Ram Bohara,Rastriya Prajatantra Party,Kathmandu-3,841,Declared,♂ Male,Bagmati Province,Kathmandu
